Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Sex And Age Total Population,108,139,108,(X)
Estimate Sex And Age Total Population Male,50,77,46.3,22.8
Estimate Sex And Age Total Population Female,58,63,53.7,22.8
Estimate Sex And Age Total Population Sex Ratio (Males Per 100 Females),86.2,65.1,(X),(X)
Estimate Sex And Age Total Population Under 5 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 5 To 9 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 10 To 14 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 15 To 19 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 20 To 24 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 25 To 34 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 35 To 44 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 45 To 54 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 55 To 59 Years,46,71,42.6,20.8
Estimate Sex And Age Total Population 60 To 64 Years,62,69,57.4,20.8
Estimate Sex And Age Total Population 65 To 74 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 75 To 84 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 85 Years And Over,0,11,0.0,23.9
Estimate Sex And Age Total Population Median Age (Years),60.7,0.6,(X),(X)
Estimate Sex And Age Total Population Under 18 Years,0,11,0.0,23.9
Estimate Sex And Age Total Population 16 Years And Over,108,139,100.0,23.9
Estimate Sex And Age Total Population 18 Years And Over,108,139,100.0,23.9
Estimate Sex And Age Total Population 21 Years And Over,108,139,100.0,23.9
Estimate Sex And Age Total Population 62 Years And Over,0,11,0.0,23.9
Estimate Sex And Age Total Population 65 Years And Over,0,11,0.0,23.9
Estimate Sex And Age Total Population 18 Years And Over,108,139,108,(X)
Estimate Sex And Age Total Population 18 Years And Over Male,50,77,46.3,22.8
Estimate Sex And Age Total Population 18 Years And Over Female,58,63,53.7,22.8
Estimate Sex And Age Total Population 18 Years And Over Sex Ratio (Males Per 100 Females),86.2,65.1,(X),(X)
Estimate Sex And Age Total Population 65 Years And Over,0,11,0,(X)
Estimate Sex And Age Total Population 65 Years And Over Male,0,11,-666666666.0,-222222222.0
Estimate Sex And Age Total Population 65 Years And Over Female,0,11,-666666666.0,-222222222.0
Estimate Sex And Age Total Population 65 Years And Over Sex Ratio (Males Per 100 Females),-666666666.0,-222222222.0,(X),(X)
Estimate Race Total Population,108,139,108,(X)
Estimate Race Total Population One Race,108,139,100.0,23.9
Estimate Race Total Population Two Or More Races,0,11,0.0,23.9
Estimate Race Total Population One Race,108,139,100.0,23.9
Estimate Race Total Population One Race White,108,139,100.0,23.9
Estimate Race Total Population One Race Black Or African American,0,11,0.0,23.9
Estimate Race Total Population One Race American Indian And Alaska Native,0,11,0.0,23.9
Estimate Race Total Population One Race American Indian And Alaska Native Cherokee Tribal Grouping,0,11,0.0,23.9
Estimate Race Total Population One Race American Indian And Alaska Native Chippewa Tribal Grouping,0,11,0.0,23.9
Estimate Race Total Population One Race American Indian And Alaska Native Navajo Tribal Grouping,0,11,0.0,23.9
Estimate Race Total Population One Race American Indian And Alaska Native Sioux Tribal Grouping,0,11,0.0,23.9
Estimate Race Total Population One Race Asian,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Asian Indian,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Chinese,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Filipino,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Japanese,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Korean,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Vietnamese,0,11,0.0,23.9
Estimate Race Total Population One Race Asian Other Asian,0,11,0.0,23.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander,0,11,0.0,23.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Native Hawaiian,0,11,0.0,23.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Chamorro,0,11,0.0,23.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Samoan,0,11,0.0,23.9
Estimate Race Total Population One Race Native Hawaiian And Other Pacific Islander Other Pacific Islander,0,11,0.0,23.9
Estimate Race Total Population One Race Some Other Race,0,11,0.0,23.9
Estimate Race Total Population Two Or More Races,0,11,0.0,23.9
Estimate Race Total Population Two Or More Races White And Black Or African American,0,11,0.0,23.9
Estimate Race Total Population Two Or More Races White And American Indian And Alaska Native,0,11,0.0,23.9
Estimate Race Total Population Two Or More Races White And Asian,0,11,0.0,23.9
Estimate Race Total Population Two Or More Races Black Or African American And American Indian And Alaska Native,0,11,0.0,23.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population,108,139,108,(X)
Estimate Race Alone Or In Combination With One Or More Other Races Total Population White,108,139,100.0,23.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Black Or African American,0,11,0.0,23.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population American Indian And Alaska Native,0,11,0.0,23.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Asian,0,11,0.0,23.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Native Hawaiian And Other Pacific Islander,0,11,0.0,23.9
Estimate Race Alone Or In Combination With One Or More Other Races Total Population Some Other Race,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population,108,139,108,(X)
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race),0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Mexican,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Puerto Rican,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Cuban,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Hispanic Or Latino (Of Any Race) Other Hispanic Or Latino,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino,108,139,100.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino White Alone,108,139,100.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Black Or African American Alone,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino American Indian And Alaska Native Alone,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Asian Alone,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Native Hawaiian And Other Pacific Islander Alone,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Some Other Race Alone,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races,0,11,0.0,23.9
Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Including Some Other Race,0,11,0.0,23.9
"Estimate Hispanic Or Latino And Race Total Population Not Hispanic Or Latino Two Or More Races Two Races Excluding Some Other Race, And Three Or More Races",0,11,0.0,23.9
Estimate Total Housing Units,58,63,(X),(X)
